course_a,course_b,path_a,path_b,similarity,distance
70155,95611,data/courses/.files/2025/course-70155.yml,data/courses/.files/2025/course-95611.yml,0.78448346,0.21551654
08574,08574,data/courses/.files/2025/course-08574-A.yml,data/courses/.files/2025/course-08574-B.yml,0.78436552,0.21563448
07276,37262,data/courses/.files/2025/course-07276-B.yml,data/courses/.files/2025/course-37262.yml,0.78411362,0.21588638
91259,93398,data/courses/.files/2025/course-91259.yml,data/courses/.files/2025/course-93398.yml,0.78364486,0.21635514
00269,94247,data/courses/.files/2025/course-00269.yml,data/courses/.files/2025/course-94247.yml,0.78288695,0.21711305
B4925,B4940,data/courses/.files/2025/course-B4925.yml,data/courses/.files/2025/course-B4940.yml,0.78260962,0.21739038
84339,95611,data/courses/.files/2025/course-84339.yml,data/courses/.files/2025/course-95611.yml,0.78255075,0.21744925
11929,B5782,data/courses/.files/2025/course-11929-C.yml,data/courses/.files/2025/course-B5782.yml,0.78175163,0.21824837
00819,37262,data/courses/.files/2025/course-00819-C.yml,data/courses/.files/2025/course-37262.yml,0.78168076,0.21831924
28021,66858,data/courses/.files/2025/course-28021.yml,data/courses/.files/2025/course-66858.yml,0.78162785,0.21837215
09032,90106,data/courses/.files/2025/course-09032.yml,data/courses/.files/2025/course-90106-A.yml,0.78123331,0.21876669
81683,B8019,data/courses/.files/2025/course-81683.yml,data/courses/.files/2025/course-B8019.yml,0.78047868,0.21952132
81940,98931,data/courses/.files/2025/course-81940.yml,data/courses/.files/2025/course-98931.yml,0.78036161,0.21963839
81940,B0069,data/courses/.files/2025/course-81940.yml,data/courses/.files/2025/course-B0069.yml,0.77984692,0.22015308
00819,37262,data/courses/.files/2025/course-00819-A.yml,data/courses/.files/2025/course-37262.yml,0.77961550,0.22038450
29227,29227,data/courses/.files/2025/course-29227-C.yml,data/courses/.files/2025/course-29227-E.yml,0.77959612,0.22040388
81610,91250,data/courses/.files/2025/course-81610.yml,data/courses/.files/2025/course-91250-D.yml,0.77926307,0.22073693
88202,91250,data/courses/.files/2025/course-88202.yml,data/courses/.files/2025/course-91250-D.yml,0.77926307,0.22073693
93929,B8378,data/courses/.files/2025/course-93929.yml,data/courses/.files/2025/course-B8378.yml,0.77675108,0.22324892
57828,B4826,data/courses/.files/2025/course-57828.yml,data/courses/.files/2025/course-B4826.yml,0.77658320,0.22341680
37635,B5782,data/courses/.files/2025/course-37635.yml,data/courses/.files/2025/course-B5782.yml,0.77637818,0.22362182
57828,82202,data/courses/.files/2025/course-57828.yml,data/courses/.files/2025/course-82202-B.yml,0.77575794,0.22424206
90147,98931,data/courses/.files/2025/course-90147.yml,data/courses/.files/2025/course-98931.yml,0.77573698,0.22426302
00819,09730,data/courses/.files/2025/course-00819-B.yml,data/courses/.files/2025/course-09730-A.yml,0.77518649,0.22481351
28796,70155,data/courses/.files/2025/course-28796.yml,data/courses/.files/2025/course-70155.yml,0.77499167,0.22500833
11929,11929,data/courses/.files/2025/course-11929-C.yml,data/courses/.files/2025/course-11929-D.yml,0.77488825,0.22511175
11929,B8105,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-B8105.yml,0.77451083,0.22548917
87469,91762,data/courses/.files/2025/course-87469.yml,data/courses/.files/2025/course-91762.yml,0.77417908,0.22582092
14015,93467,data/courses/.files/2025/course-14015.yml,data/courses/.files/2025/course-93467.yml,0.77398760,0.22601240
28016,28651,data/courses/.files/2025/course-28016-A.yml,data/courses/.files/2025/course-28651.yml,0.77333905,0.22666095
11929,37635,data/courses/.files/2025/course-11929-D.yml,data/courses/.files/2025/course-37635.yml,0.77172206,0.22827794
40720,B2133,data/courses/.files/2025/course-40720.yml,data/courses/.files/2025/course-B2133.yml,0.77160067,0.22839933
81940,90147,data/courses/.files/2025/course-81940.yml,data/courses/.files/2025/course-90147.yml,0.77113714,0.22886286
09032,95627,data/courses/.files/2025/course-09032.yml,data/courses/.files/2025/course-95627.yml,0.77078540,0.22921460
91266,93478,data/courses/.files/2025/course-91266.yml,data/courses/.files/2025/course-93478.yml,0.77062386,0.22937614
91250,91250,data/courses/.files/2025/course-91250-A.yml,data/courses/.files/2025/course-91250-D.yml,0.77046080,0.22953920
00819,00819,data/courses/.files/2025/course-00819-D.yml,data/courses/.files/2025/course-00819-E.yml,0.77007900,0.22992100
73302,91254,data/courses/.files/2025/course-73302.yml,data/courses/.files/2025/course-91254.yml,0.76992109,0.23007891
00819,15305,data/courses/.files/2025/course-00819-B.yml,data/courses/.files/2025/course-15305.yml,0.76978548,0.23021452
96142,96143,data/courses/.files/2025/course-96142.yml,data/courses/.files/2025/course-96143.yml,0.76897343,0.23102657
00819,37262,data/courses/.files/2025/course-00819-B.yml,data/courses/.files/2025/course-37262.yml,0.76894660,0.23105340
69731,96007,data/courses/.files/2025/course-69731-B.yml,data/courses/.files/2025/course-96007.yml,0.76847810,0.23152190
40720,95631,data/courses/.files/2025/course-40720.yml,data/courses/.files/2025/course-95631-B.yml,0.76788725,0.23211275
B0070,B5292,data/courses/.files/2025/course-B0070.yml,data/courses/.files/2025/course-B5292.yml,0.76751050,0.23248950
75835,95645,data/courses/.files/2025/course-75835.yml,data/courses/.files/2025/course-95645.yml,0.76659054,0.23340946
66858,90106,data/courses/.files/2025/course-66858.yml,data/courses/.files/2025/course-90106-B.yml,0.76653817,0.23346183
72938,90147,data/courses/.files/2025/course-72938.yml,data/courses/.files/2025/course-90147.yml,0.76633572,0.23366428
95627,B0011,data/courses/.files/2025/course-95627.yml,data/courses/.files/2025/course-B0011.yml,0.76525829,0.23474171
37262,B8905,data/courses/.files/2025/course-37262.yml,data/courses/.files/2025/course-B8905.yml,0.76515394,0.23484606
28651,B8379,data/courses/.files/2025/course-28651.yml,data/courses/.files/2025/course-B8379.yml,0.76497966,0.23502034
95646,96642,data/courses/.files/2025/course-95646.yml,data/courses/.files/2025/course-96642.yml,0.76485726,0.23514274
91267,93669,data/courses/.files/2025/course-91267.yml,data/courses/.files/2025/course-93669.yml,0.76427100,0.23572900
81649,81654,data/courses/.files/2025/course-81649.yml,data/courses/.files/2025/course-81654.yml,0.76417605,0.23582395
73092,81649,data/courses/.files/2025/course-73092.yml,data/courses/.files/2025/course-81649.yml,0.76348833,0.23651167
09032,66858,data/courses/.files/2025/course-09032.yml,data/courses/.files/2025/course-66858.yml,0.76331183,0.23668817
90749,91685,data/courses/.files/2025/course-90749.yml,data/courses/.files/2025/course-91685.yml,0.76323882,0.23676118
70155,90107,data/courses/.files/2025/course-70155.yml,data/courses/.files/2025/course-90107.yml,0.76297141,0.23702859
81940,91248,data/courses/.files/2025/course-81940.yml,data/courses/.files/2025/course-91248.yml,0.76286479,0.23713521
