course_a,course_b,path_a,path_b,similarity,distance
10906,91265,data/courses/.files/2025/course-10906.yml,data/courses/.files/2025/course-91265.yml,0.50405971,0.49594029
B5474,B9254,data/courses/.files/2025/course-B5474.yml,data/courses/.files/2025/course-B9254.yml,0.50405177,0.49594823
72796,96007,data/courses/.files/2025/course-72796.yml,data/courses/.files/2025/course-96007.yml,0.50404353,0.49595647
48693,85445,data/courses/.files/2025/course-48693.yml,data/courses/.files/2025/course-85445.yml,0.50403184,0.49596816
73302,81612,data/courses/.files/2025/course-73302.yml,data/courses/.files/2025/course-81612.yml,0.50403144,0.49596856
78778,B6082,data/courses/.files/2025/course-78778.yml,data/courses/.files/2025/course-B6082.yml,0.50401723,0.49598277
69867,B8554,data/courses/.files/2025/course-69867.yml,data/courses/.files/2025/course-B8554.yml,0.50400937,0.49599063
95611,95630,data/courses/.files/2025/course-95611.yml,data/courses/.files/2025/course-95630.yml,0.50400591,0.49599409
81942,91161,data/courses/.files/2025/course-81942.yml,data/courses/.files/2025/course-91161.yml,0.50400574,0.49599426
28011-A,70219,data/courses/.files/2025/course-28011-A.yml,data/courses/.files/2025/course-70219.yml,0.50398720,0.49601280
90074,B9254,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-B9254.yml,0.50398447,0.49601553
07276,91762,data/courses/.files/2025/course-07276.yml,data/courses/.files/2025/course-91762.yml,0.50398244,0.49601756
15305,87901,data/courses/.files/2025/course-15305.yml,data/courses/.files/2025/course-87901.yml,0.50397643,0.49602357
30376,96346-A,data/courses/.files/2025/course-30376.yml,data/courses/.files/2025/course-96346-A.yml,0.50396970,0.49603030
70155,97466,data/courses/.files/2025/course-70155.yml,data/courses/.files/2025/course-97466.yml,0.50396397,0.49603603
90147,95648,data/courses/.files/2025/course-90147.yml,data/courses/.files/2025/course-95648.yml,0.50396082,0.49603918
37085,95639,data/courses/.files/2025/course-37085.yml,data/courses/.files/2025/course-95639.yml,0.50395682,0.49604318
93669,B8536,data/courses/.files/2025/course-93669.yml,data/courses/.files/2025/course-B8536.yml,0.50395333,0.49604667
03716,90147,data/courses/.files/2025/course-03716.yml,data/courses/.files/2025/course-90147.yml,0.50393689,0.49606311
11929-A,96995,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-96995.yml,0.50392893,0.49607107
91267,95604,data/courses/.files/2025/course-91267.yml,data/courses/.files/2025/course-95604.yml,0.50392537,0.49607463
88145,93669,data/courses/.files/2025/course-88145.yml,data/courses/.files/2025/course-93669.yml,0.50391449,0.49608551
97466,B5674,data/courses/.files/2025/course-97466.yml,data/courses/.files/2025/course-B5674.yml,0.50391304,0.49608696
72796,90074,data/courses/.files/2025/course-72796.yml,data/courses/.files/2025/course-90074.yml,0.50391076,0.49608924
B2125,B5665,data/courses/.files/2025/course-B2125.yml,data/courses/.files/2025/course-B5665.yml,0.50389699,0.49610301
75969,81609,data/courses/.files/2025/course-75969.yml,data/courses/.files/2025/course-81609.yml,0.50389381,0.49610619
85285,B8563,data/courses/.files/2025/course-85285.yml,data/courses/.files/2025/course-B8563.yml,0.50386632,0.49613368
28796,91258-A,data/courses/.files/2025/course-28796.yml,data/courses/.files/2025/course-91258-A.yml,0.50386532,0.49613468
75969,95965,data/courses/.files/2025/course-75969.yml,data/courses/.files/2025/course-95965.yml,0.50386465,0.49613535
03716,66858,data/courses/.files/2025/course-03716.yml,data/courses/.files/2025/course-66858.yml,0.50385928,0.49614072
91266,B4940,data/courses/.files/2025/course-91266.yml,data/courses/.files/2025/course-B4940.yml,0.50385175,0.49614825
70219,B8019,data/courses/.files/2025/course-70219.yml,data/courses/.files/2025/course-B8019.yml,0.50384777,0.49615223
95644,B8554,data/courses/.files/2025/course-95644.yml,data/courses/.files/2025/course-B8554.yml,0.50384413,0.49615587
16692,93653,data/courses/.files/2025/course-16692.yml,data/courses/.files/2025/course-93653.yml,0.50383989,0.49616011
B2696,B5722,data/courses/.files/2025/course-B2696.yml,data/courses/.files/2025/course-B5722.yml,0.50383692,0.49616308
75835,B5793,data/courses/.files/2025/course-75835.yml,data/courses/.files/2025/course-B5793.yml,0.50383508,0.49616492
16692,73273,data/courses/.files/2025/course-16692.yml,data/courses/.files/2025/course-73273.yml,0.50382631,0.49617369
90074,B2696,data/courses/.files/2025/course-90074.yml,data/courses/.files/2025/course-B2696.yml,0.50381750,0.49618250
96142,98931,data/courses/.files/2025/course-96142.yml,data/courses/.files/2025/course-98931.yml,0.50380915,0.49619085
89988,96725,data/courses/.files/2025/course-89988.yml,data/courses/.files/2025/course-96725.yml,0.50379485,0.49620515
91267,93319,data/courses/.files/2025/course-91267.yml,data/courses/.files/2025/course-93319.yml,0.50379026,0.49620974
90477,96859,data/courses/.files/2025/course-90477.yml,data/courses/.files/2025/course-96859.yml,0.50378999,0.49621001
78810,93333,data/courses/.files/2025/course-78810.yml,data/courses/.files/2025/course-93333.yml,0.50378996,0.49621004
30376,B8905,data/courses/.files/2025/course-30376.yml,data/courses/.files/2025/course-B8905.yml,0.50378877,0.49621123
66870,B4826,data/courses/.files/2025/course-66870.yml,data/courses/.files/2025/course-B4826.yml,0.50378791,0.49621209
28012,73025,data/courses/.files/2025/course-28012.yml,data/courses/.files/2025/course-73025.yml,0.50378627,0.49621373
B1873,B5812,data/courses/.files/2025/course-B1873.yml,data/courses/.files/2025/course-B5812.yml,0.50377728,0.49622272
48693,81683,data/courses/.files/2025/course-48693.yml,data/courses/.files/2025/course-81683.yml,0.50376958,0.49623042
81676,93470,data/courses/.files/2025/course-81676.yml,data/courses/.files/2025/course-93470.yml,0.50376417,0.49623583
70226,B9254,data/courses/.files/2025/course-70226.yml,data/courses/.files/2025/course-B9254.yml,0.50375238,0.49624762
B6082,B8905,data/courses/.files/2025/course-B6082.yml,data/courses/.files/2025/course-B8905.yml,0.50371794,0.49628206
07276-C,84530,data/courses/.files/2025/course-07276-C.yml,data/courses/.files/2025/course-84530.yml,0.50371768,0.49628232
00819,95645,data/courses/.files/2025/course-00819.yml,data/courses/.files/2025/course-95645.yml,0.50370506,0.49629494
81940,95648,data/courses/.files/2025/course-81940.yml,data/courses/.files/2025/course-95648.yml,0.50370459,0.49629541
29227,95782,data/courses/.files/2025/course-29227.yml,data/courses/.files/2025/course-95782.yml,0.50369937,0.49630063
11929-A,98671,data/courses/.files/2025/course-11929-A.yml,data/courses/.files/2025/course-98671.yml,0.50369197,0.49630803
42500,91762,data/courses/.files/2025/course-42500.yml,data/courses/.files/2025/course-91762.yml,0.50369037,0.49630963
28024,95648,data/courses/.files/2025/course-28024.yml,data/courses/.files/2025/course-95648.yml,0.50368869,0.49631131
