"cluster_id";"cluster_name";"course_id";"course_name";"year";"teachers";"teachers_affiliations";"teachers_ssds";"teachers_roles";"campus";"credits";"ssd";"language";"programmes_codes";"programmes_names";"programmes_types";"programmes_affiliations";"course_scope";"course_url"
"1";"Informatics Principles Foundations (1)";"28011-A";"Logic Design T";"2025";"giacomo.melacini2, samuele.salti";"disi";"IINF-05/A, ING-INF/05";"associate professor, phd student";"Bologna";"6";"ING-INF/05";"Italian";"5826, 6668, 6719, 9254";"Computer Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/535286"
"1";"Informatics Principles Foundations (1)";"28623";"Foundations of Informatics and Laboratory";"2025";"alessandro.calvio, domenico.scotece, luca.foschini";"ciri-ict, disi";"IINF-05/A, ING-INF/05";"full professor, research scholarship holder, rtda";"Bologna";"12";"ING-INF/05";"Italian";"6672, 9065";"Electronics and Telecommunications Engineering";"LT";"dei";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/530782"
"1";"Informatics Principles Foundations (1)";"29227-A";"Foundations of Informatics T";"2025";"federico.giangolini2, giorgio.bornia, marco.barbieri33, ruben.scardovelli";"din";"IIND-07/D, ING-IND/19";"associate professor, phd student";"Bologna";"6";"ING-INF/05";"Italian";"0927, 0949, 5724, 6677, 6680, 6721";"Mechanical Engineering";"LM, LT";"din";"external";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/333852"
"1";"Informatics Principles Foundations (1)";"60348";"Informatics";"2025";"claudio.sartori, gloria.remoli";"disi, stat";"IINF-05/A, SECS-S/01";"full professor, phd student";"Bologna";"10";"ING-INF/05";"English";"6661, 6810, 8873, 9222";"Statistical Sciences";"LM, LT";"stat";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/529124"
"1";"Informatics Principles Foundations (1)";"69731";"Computer Architecture";"2025";"davide.maltoni, gloria.semprini2, matteo.ferrara, raffaele.cappelli, serafino.pandolfini2";"disi";"IINF-05/A, ING-INF/05";"associate professor, full professor, phd student, teaching tutor";"Cesena";"12";"ING-INF/05";"Italian";"6673, 6699, 8614, 8615";"Computer Science and Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/536883"
"1";"Informatics Principles Foundations (1)";"81612";"Programming and Development paradigms";"2025";"gianluca.aguzzi, mirko.viroli, nicolas.farabegoli";"disi";"IINF-05/A, ING-INF/05";"adjunct professor, full professor, phd student";"Cesena";"6";"ING-INF/05";"Italian";"6673, 6699, 8614, 8615";"Computer Science and Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/526526"
"1";"Informatics Principles Foundations (1)";"88146";"Fundamentals of Computer Programming P2";"2025";"luca.bartolomei5, stefano.mattoccia";"disi";"IINF-05/A, ING-INF/05";"full professor, pre-doc research fellow";"Bologna";"3";"ING-INF/05";"Italian";"6009";"Mechatronics";"LT";"dei";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/498976"
"1";"Informatics Principles Foundations (1)";"89988";"Elements of Informatics";"2025";"mauro.gaspari, michele.moresco, nicola.borghi6";"difa, disi";"INFO-01/A, PHYS-05/A";"associate professor, research fellow";"Bologna";"6";"INF/01";"Italian";"6638, 8004";"Astronomy";"LT";"difa";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/524116"
"1";"Informatics Principles Foundations (1)";"93034";"Foundations of Computer Science T";"2025";"alessandro.aimi, andrea.borghesi3, angelo.quarta2, davide.tazzioli, federico.chesani, giulia.grundler2, giuseppe.dimodica, william.crawfordiii";"disi";"IINF-05/A, ING-INF/05";"associate professor, phd student, research fellow, research scholarship holder";"Bologna";"12";"ING-INF/05";"Italian";"5826, 6668, 6719, 9254";"Computer Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/543007"
"1";"Informatics Principles Foundations (1)";"B3567";"INTRODUCTION TO QUANTUM COMPUTING";"2025";"adrienne.lancelot, ivan.lanese, ugo.dallago";"disi";"INFO-01/A";"associate professor, full professor, research scholarship holder";"Bologna";"6";"INF/01";"English";"5898, 6640, 6698, 8009";"Computer Science";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/518554"
"1";"Informatics Principles Foundations (1)";"B8159";"INFORMATICA";"2025";"stefano.lodi";"disi";"IINF-05/A";"associate professor";"Rimini";"8";"ING-INF/05";"Italian";"5901, 6660";"Statistics, Finance and Insurance";"LT";"stat";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/542201"
"2";"Big Data Cloud (2)";"30376";"Business Intelligence";"2025";"enrico.gallinucci, stefano.rizzi";"disi";"IINF-05/A";"full professor, tenure-track researcher";"Cesena";"6";"ING-INF/05";"Italian";"6673, 6699, 8614, 8615";"Computer Science and Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/412632"
"2";"Big Data Cloud (2)";"40720";"Data Mining";"2025";"gianluca.moro, manuele.pasini, matteo.golfarelli";"disi";"IINF-05/A, ING-INF/05";"associate professor, full professor, phd student";"Cesena";"6";"ING-INF/05";"English";"5815, 6673, 6699, 8614, 8615";"Computer Science and Engineering, Digital Transformation Management";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/412644"
"2";"Big Data Cloud (2)";"81932";"Big Data";"2025";"enrico.gallinucci";"disi";"IINF-05/A";"tenure-track researcher";"Cesena";"6";"ING-INF/05";"English";"5815, 6673, 6699, 8614, 8615";"Computer Science and Engineering, Digital Transformation Management";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/412684"
"2";"Big Data Cloud (2)";"84530";"Database and Big Data Technologies M";"2025";"marco.patella, paolo.ciaccia";"disi";"IINF-05/A";"full professor";"Bologna";"8";"ING-INF/05";"Italian";"5826, 6668, 6719, 9254";"Computer Engineering";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/517617"
"2";"Big Data Cloud (2)";"84531";"Infrastructures For Cloud Computing and Big Data M";"2025";"andrea.sabbioni5, antonio.corradi";"disi, unibo";"IINF-05/A";"former professor, rtda";"Bologna";"8";"ING-INF/05";"English";"5826, 6668, 6719, 9254";"Computer Engineering";"LM, LT";"disi";"weak_internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/517618"
"2";"Big Data Cloud (2)";"90748";"Blockchain and Cryptocurrencies";"2025";"s.ferretti";"disi";"INFO-01/A";"full professor";"Bologna";"6";"INF/01";"English";"5898, 6640, 6698, 6700, 8009, 9063";"Artificial Intelligence, Computer Science";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/518539"
"2";"Big Data Cloud (2)";"91259";"Architecture and Platforms for Artificial Intelligence";"2025";"d.nadalini, luca.benini, moreno.marzolla";"dei, disi";"IINF-01/A, INFO-01/A";"associate professor, full professor, phd student";"Bologna";"6";"INF/01";"English";"6700, 9063";"Artificial Intelligence";"LM";"disi";"weak_internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/446607"
"2";"Big Data Cloud (2)";"93653";"Iot And Big Data For Smart Agricultural Systems";"2025";"giuseppe.dimodica";"disi";"IINF-05/A";"associate professor";"Bologna";"5";"ING-INF/05";"English";"5705, 6786";"Precise and Sustainable Agriculture";"LM";"distal";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/516294"
"2";"Big Data Cloud (2)";"95630";"Big Data and Cloud Platforms";"2025";"enrico.gallinucci, m.francia";"disi";"IINF-05/A";"tenure-track researcher";"Cesena";"6";"ING-INF/05";"English";"5815, 6823";"Digital Transformation Management";"LM";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/466768"
"2";"Big Data Cloud (2)";"95631";"Machine Learning and Data Mining";"2025";"alberto.genovese6, andrea.gurioli5, claudio.sartori";"disi";"IINF-05/A, INF/01";"full professor, phd student, teaching tutor";"Bologna";"6";"ING-INF/05";"English";"5826, 6700, 8891, 9063";"Artificial Intelligence, Automation Engineering, Computer Engineering";"LM";"dei, disi";"weak_internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/502283"
"2";"Big Data Cloud (2)";"95631-A";"Machine Learning and Data Mining";"2025";"m.francia, manuele.pasini, matteo.golfarelli";"disi";"IINF-05/A, ING-INF/05";"full professor, phd student, tenure-track researcher";"Cesena";"6";"ING-INF/05";"English";"5815, 6673, 6699, 6823, 8614, 8615";"Computer Science and Engineering, Digital Transformation Management";"LM, LT";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/466769"
"2";"Big Data Cloud (2)";"96142";"Business Intelligence and Big Data M";"2025";"federico.ravaldi2, stefano.rizzi";"din, disi";"IINF-05/A";"adjunct professor, full professor";"Bologna";"6";"ING-INF/05";"Italian";"0925, 0936, 6679, 6718";"Engineering Management";"LM, LT";"din";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/467876"
"2";"Big Data Cloud (2)";"96143";"Methods and Models for Data Analytics M";"2025";"andrea.borghesi3, fabio.grandi";"disi";"IINF-05/A";"associate professor";"Bologna";"6";"ING-INF/05";"Italian";"0925, 0936, 6679, 6718";"Engineering Management";"LM, LT";"din";"service";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/467879"
"2";"Big Data Cloud (2)";"98671";"Business Analytics";"2025";"francesco.bergamaschi";"disa";"";"adjunct professor";"Forli";"3";"INF/01";"English";"5892, 6614";"Management and Economics";"LT";"disa";"external";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/478372"
"2";"Big Data Cloud (2)";"B2125";"Machine Learning and Data Mining M";"2025";"alberto.genovese6, andrea.gurioli5, claudio.sartori";"disi";"IINF-05/A, INF/01";"full professor, phd student, teaching tutor";"Bologna";"8";"ING-INF/05";"English";"5826, 6668, 6671, 6700, 6711, 6719, 8891, 9063, 9217, 9254";"Artificial Intelligence, Automation Engineering, Computer Engineering";"LM, LT";"dei, disi";"weak_internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/493396"
"2";"Big Data Cloud (2)";"B2133";"Big Data Analytics and Text Mining";"2025";"giacomo.frisoni, gianluca.moro, stefano.lodi";"disi";"IINF-05/A";"associate professor, research fellow";"Bologna";"6";"ING-INF/05";"English";"6700, 9063";"Artificial Intelligence";"LM";"disi";"internal";"https://www.unibo.it/en/study/course-units-transferable-skills-moocs/course-unit-catalogue/course-unit/2025/491926"
