course_id,course_title,neighbor_rank,neighbor_course_id,neighbor_title,similarity
10906-A,Databases,1,95611,Database Systems,0.97456082
10906-A,Databases,2,79194,Databases,0.86093427
10906-A,Databases,3,10906-B,Databases,0.83873979
10906-A,Databases,4,70155,Data Bases,0.81970589
10906-A,Databases,5,90107,BASI DI DATI,0.78758077
10906-A,Databases,6,84339,Advanced Database Systems,0.77237481
10906-A,Databases,7,96793,Information Systems and Database Management,0.76340167
10906-A,Databases,8,84530,Database and Big Data Technologies M,0.74374795
10906-A,Databases,9,28027,Information Systems T,0.74230437
10906-A,Databases,10,B8159,INFORMATICA,0.73734860
10906-B,Databases,1,10906-A,Databases,0.83873979
10906-B,Databases,2,95611,Database Systems,0.82136455
10906-B,Databases,3,28027,Information Systems T,0.77886763
10906-B,Databases,4,70155,Data Bases,0.76138056
10906-B,Databases,5,84530,Database and Big Data Technologies M,0.76041683
10906-B,Databases,6,79194,Databases,0.75849541
10906-B,Databases,7,90107,BASI DI DATI,0.71988058
10906-B,Databases,8,84339,Advanced Database Systems,0.71983712
10906-B,Databases,9,28652,IT Systems T-1,0.71756019
10906-B,Databases,10,96793,Information Systems and Database Management,0.71106916
10907,Electronics of Digital Systems,1,88228,Microcontroller electronic systems P,0.78151785
10907,Electronics of Digital Systems,2,94272,Electronic Systems,0.77624133
10907,Electronics of Digital Systems,3,09730-B,Principles of Informatics,0.77464948
10907,Electronics of Digital Systems,4,B5722,Embedded Sensors,0.77385986
10907,Electronics of Digital Systems,5,34991,Project in electronics and telecommunications,0.77149287
10907,Electronics of Digital Systems,6,28651,Electronics T-A,0.76926219
10907,Electronics of Digital Systems,7,35148,Electronics for analogic signal processing,0.76905741
10907,Electronics of Digital Systems,8,00269,Electronics,0.76901847
10907,Electronics of Digital Systems,9,09730-A,Principles of Informatics,0.76741369
10907,Electronics of Digital Systems,10,15305,Foundations of Informatics A,0.76355431
11340,INFORMATICA APPLICATA,1,B8159,INFORMATICA,0.72646794
11340,INFORMATICA APPLICATA,2,57828,Informatics,0.71418480
11340,INFORMATICA APPLICATA,3,96793,Information Systems and Database Management,0.70920098
11340,INFORMATICA APPLICATA,4,70155,Data Bases,0.70507566
11340,INFORMATICA APPLICATA,5,39176-A,Basic and Laboratory Informatics,0.69800252
11340,INFORMATICA APPLICATA,6,39176-B,Basic and Laboratory Informatics,0.69800252
11340,INFORMATICA APPLICATA,7,79194,Databases,0.69659490
11340,INFORMATICA APPLICATA,8,82202-B,Informatic,0.69624212
11340,INFORMATICA APPLICATA,9,B4826,Informatics for the Humanities,0.69487511
11340,INFORMATICA APPLICATA,10,82202-A,Informatic,0.69137428
11925,Computer Architecture,1,69731-B,Computer Architecture,0.79835679
11925,Computer Architecture,2,95602,Programming and Computer Architectures,0.78483357
11925,Computer Architecture,3,96007,Foundations of Computer Architecture and Operating Systems,0.77831450
11925,Computer Architecture,4,03716-A,Digital Design Principles and Computer Architecture,0.77607761
11925,Computer Architecture,5,03716-B,Digital Design Principles and Computer Architecture,0.77607761
